Department,Name,Title,Photo
传播学系,黄佩,教授,C:\Users\25815\PycharmProjects\pythonProject\黄佩
传播学系,刘胜枝,教授,C:\Users\25815\PycharmProjects\pythonProject\刘胜枝
传播学系,王文宏,教授,C:\Users\25815\PycharmProjects\pythonProject\王文宏
传播学系,张蓝姗,教授,C:\Users\25815\PycharmProjects\pythonProject\张蓝姗
数字媒体系,贾云鹏,教授,C:\Users\25815\PycharmProjects\pythonProject\贾云鹏
数字媒体系,高立,教授,C:\Users\25815\PycharmProjects\pythonProject\高立
数字媒体系,李学明,教授,C:\Users\25815\PycharmProjects\pythonProject\李学明
数字媒体系,张凤全,教授,C:\Users\25815\PycharmProjects\pythonProject\张凤全
设计系,侯文军,教授,C:\Users\25815\PycharmProjects\pythonProject\侯文军
艺术教研中心,李霞,教授,C:\Users\25815\PycharmProjects\pythonProject\李霞
设计系,郗小超,副教授,C:\Users\25815\PycharmProjects\pythonProject\郗小超
设计系,谭剑,副教授,C:\Users\25815\PycharmProjects\pythonProject\谭剑
设计系,吕菲,副教授,C:\Users\25815\PycharmProjects\pythonProject\吕菲
设计系,李铁萌,副教授,C:\Users\25815\PycharmProjects\pythonProject\李铁萌
设计系,高盟,副教授,C:\Users\25815\PycharmProjects\pythonProject\高盟
设计系,吕美玉,副教授,C:\Users\25815\PycharmProjects\pythonProject\吕美玉
设计系,盛卿,副教授,C:\Users\25815\PycharmProjects\pythonProject\盛卿
设计系,孙炜,副教授,C:\Users\25815\PycharmProjects\pythonProject\孙炜
设计系,由振伟,副教授,C:\Users\25815\PycharmProjects\pythonProject\由振伟
数字媒体系,汪晓春,副教授,C:\Users\25815\PycharmProjects\pythonProject\汪晓春
数字媒体系,柳杨,副教授,C:\Users\25815\PycharmProjects\pythonProject\柳杨
数字媒体系,符强,副教授,C:\Users\25815\PycharmProjects\pythonProject\符强
数字媒体系,李萌,副教授,C:\Users\25815\PycharmProjects\pythonProject\李萌
数字媒体系,兰名荥,副教授,C:\Users\25815\PycharmProjects\pythonProject\兰名荥
数字媒体系,张跃,副教授,C:\Users\25815\PycharmProjects\pythonProject\张跃
传播学系,高崇,副教授,C:\Users\25815\PycharmProjects\pythonProject\高崇
传播学系,黄淼,副教授,C:\Users\25815\PycharmProjects\pythonProject\黄淼
传播学系,梁爽,副教授,C:\Users\25815\PycharmProjects\pythonProject\梁爽
传播学系,黄传武,副教授,C:\Users\25815\PycharmProjects\pythonProject\黄传武
传播学系,蒋淑媛,副教授,C:\Users\25815\PycharmProjects\pythonProject\蒋淑媛
传播学系,梁刚,副教授,C:\Users\25815\PycharmProjects\pythonProject\梁刚
传播学系,刘剑,副教授,C:\Users\25815\PycharmProjects\pythonProject\刘剑
传播学系,任乐毅,副教授,C:\Users\25815\PycharmProjects\pythonProject\任乐毅
传播学系,万柳,副教授,C:\Users\25815\PycharmProjects\pythonProject\万柳
艺术教研中心,王海智,副教授,C:\Users\25815\PycharmProjects\pythonProject\王海智
艺术教研中心,郑晓慧,副教授,C:\Users\25815\PycharmProjects\pythonProject\郑晓慧
艺术教研中心,郭艺涵,讲师,C:\Users\25815\PycharmProjects\pythonProject\郭艺涵
艺术教研中心,刘晓勇,讲师,C:\Users\25815\PycharmProjects\pythonProject\刘晓勇
艺术教研中心,马辉,讲师,C:\Users\25815\PycharmProjects\pythonProject\马辉
艺术教研中心,马梦鹤,讲师,C:\Users\25815\PycharmProjects\pythonProject\马梦鹤
数字媒体系,赵天奇,讲师,C:\Users\25815\PycharmProjects\pythonProject\赵天奇
数字媒体系,张宪林,讲师,C:\Users\25815\PycharmProjects\pythonProject\张宪林
数字媒体系,王楠,讲师,C:\Users\25815\PycharmProjects\pythonProject\王楠
数字媒体系,曹璐,讲师,C:\Users\25815\PycharmProjects\pythonProject\曹璐
数字媒体系,郭宁,讲师,C:\Users\25815\PycharmProjects\pythonProject\郭宁
数字媒体系,李荣锋,讲师,C:\Users\25815\PycharmProjects\pythonProject\李荣锋
数字媒体系,陈思,讲师,C:\Users\25815\PycharmProjects\pythonProject\陈思
数字媒体系,孙尚,讲师,C:\Users\25815\PycharmProjects\pythonProject\孙尚
数字媒体系,周博,讲师,C:\Users\25815\PycharmProjects\pythonProject\周博
数字媒体系,张若宸,讲师,C:\Users\25815\PycharmProjects\pythonProject\张若宸
数字媒体系,王希萌,讲师,C:\Users\25815\PycharmProjects\pythonProject\王希萌
数字媒体系,程希,讲师,C:\Users\25815\PycharmProjects\pythonProject\程希
传播学系,兰朵,讲师,C:\Users\25815\PycharmProjects\pythonProject\兰朵
传播学系,陈曲,讲师,C:\Users\25815\PycharmProjects\pythonProject\陈曲
设计系,秦宪刚,讲师,C:\Users\25815\PycharmProjects\pythonProject\秦宪刚
